Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
142,50.1775,12.4205555556,M,0.827269386,0,0,0,0,0,0,1,0,2
143,50.1775,12.4205555556,F,0.731481481,0,0,0,0,0,0,0,0,157
144,50.2161111111,12.5347222222,M,0.087179487,0,0,0,0,0,2,0,0,137
145,50.2161111111,12.5347222222,F,0.081734186,0,0,0,0,0,0,0,0,174
146,49.9066666667,12.425,M,0.859713551,0,0,0,0,0,0,0,0,1
147,50.0433333333,12.4486111111,F,0.126865672,0,0,0,0,0,0,0,0,26
148,50.2116666667,12.5794444444,M,0.086813187,0,0,0,0,0,0,0,0,38
149,50.22,12.4433333333,F,0.823863636,0,0,0,0,0,0,0,0,0
150,50.1947222222,11.4375,F,0.985095813,0,0,0,0,0,0,10,0,7
151,50.1775,12.4205555556,F,0.704900568,0,0,0,0,0,0,15,0,28
152,50.1372222222,11.7627777778,F,0.985450674,0,1,0,0,0,0,76,0,20
153,49.8908333333,11.6177777778,M,0.984208593,0,0,0,0,0,0,3,0,23
154,49.995,12.5908333333,F,0.040838068,0,0,0,0,0,0,0,0,96
155,50.0783333333,11.9233333333,M,0.965921583,0,0,0,0,0,0,1,0,13
156,50.13,12.6186111111,F,0.14957265,0,0,0,0,0,0,0,0,96
157,50.13,12.6186111111,M,0.123809524,0,0,0,0,0,0,0,0,0
158,50.1186111111,11.9166666667,F,0.978338068,0,1,0,0,0,0,0,0,4
159,50.1186111111,11.9166666667,M,0.975815317,0,1,0,0,0,0,3,0,142
160,50.1186111111,11.9166666667,F,0.981902058,0,0,2,0,0,0,4,0,2
161,50.1186111111,11.9166666667,M,0.981346013,0,1,0,0,0,0,0,0,22
162,50.1641666667,12.4311111111,F,0.373751783,0,0,0,0,0,0,0,0,0
163,50.2116666667,12.5794444444,M,0.08101173,0,0,0,0,0,0,0,0,247
164,50.1402777778,12.2966666667,F,0.724518888,0,0,0,0,0,0,0,0,33
165,50.1591666667,12.4583333333,M,0.190091743,0,0,0,1,0,0,0,0,0
166,50.1947222222,11.4375,F,0.984363895,0,0,0,0,0,0,4,0,21
167,49.8961111111,12.4527777778,M,0.853146853,0,0,2,0,0,2,0,0,0
168,49.8908333333,11.6177777778,F,0.98113879,0,0,0,0,0,0,42,0,0
169,50.1402777778,12.2966666667,M,0.697614679,0,0,0,0,0,0,0,0,167
170,49.8908333333,11.6177777778,F,0.98463188,0,0,0,0,0,0,4,0,1
171,49.8908333333,11.6177777778,F,0.985053381,0,0,0,0,0,0,0,0,3
172,50.1402777778,12.2966666667,M,0.693660682,0,0,0,0,0,0,0,0,15
173,50.13,12.6186111111,M,0.142070485,0,0,0,0,0,0,0,0,0
174,50.13,12.6186111111,F,0.138434164,0,0,0,0,0,0,1,0,3
